brand_moniter,model_name_moniter,screen_size_moniter,resolution_moniter,panel_type_moniter,refresh_rate_moniter,aspect_ratio_moniter,ports_moniter,price_moniter
DAHUA,LM19-A202F,18.5'',1366 x 768,TN,60Hz,-,"VGA, HDMI",1690
ACER,E200QBI,19.5'',1600 x 900,TN,75Hz,16:09,"VGA, HDMI",1900
DAHUA,LM22-A200Y,21.5'',1920 x 1080,VA,100Hz,16:09,"VGA, HDMI",1750
DAHUA,LM22-B200S,21.5'',1920 x 1080,VA,100Hz,16:09,"VGA, HDMI, SPK",1850
AOC,22B30HM2-120/67,21.5'',1920 x 1080,VA,120Hz,16:09,HDMI,1850
ACER,AOPEN 22CL1QE3BI,21.5'',1920 x 1080,IPS,100Hz,16:09,"VGA, HDMI",1850
DAHUA,LM22-B201S,21.45'',1920 x 1080,IPS,100Hz,16:09,"VGA, HDMI, SPK",1890
HIKVISION,DS-D5022F2-2V2,21.5'',1920 x 1080,VA,100Hz,-,"VGA, HDMI",1890
ACER,EK221QJ0BI,21.5'',1920 x 1080,VA,120Hz,16:09,"VGA, HDMI",1930
ASUS,VP227HF,21.45'',1920 x 1080,VA,100Hz,16:09,"VGA, HDMI",1950
LENOVO,L22-4E,21.5'',1920 x 1080,IPS,100Hz,16:09,"HDMI, VGA",2150
ACER,EK221QG3BI,21.5'',1920 x 1080,VA,120Hz,-,"VGA, HDMI",2050
DAHUA,LM22-A211Y,21.5'',1920 x 1080,IPS,120Hz,16:09,"VGA, HDMI",2090
ASUS,VP229HF,21.45'',1920 x 1080,IPS,100Hz,16:09,"VGA, HDMI",2190
DELL,SE2225HM,21.5'',1920 x 1080,VA,100Hz,16:09,"HDMI, VGA",2290
HP,S3 PRO 322PF,21.5'',1920 x 1080,IPS,100Hz,16:09,"VGA, HDMI, DP",2790
DELL,P2225H,21.5'',1920 x 1080,IPS,100Hz,16:09,"VGA, HDMI, DP",4650
DAHUA,LM24-A200Y,23.8'',1920 x 1080,VA,100Hz,16:09,"VGA, HDMI",2090
DAHUA,LM24-B201S,23.8'',1920 x 1080,IPS,100Hz,16:09,"VGA, HDMI, SPK",2150
DAHUA,LM24-B200S,23.8'',1920 x 1080,VA,100Hz,16:09,"VGA, HDMI, SPK",2180
HIKVISION,DS-D5024F2-BV2,23.8'',1920 x 1080,VA,100Hz,-,"VGA, HDMI",2250
AOC,24B15H3/67,23.8'',1920 x 1080,IPS,120Hz,16:09,"VGA, HDMI",2390
HIKVISION,DS-D5024F2-BP2,23.8'',1920 x 1080,IPS,100Hz,16:09,"VGA, HDMI",2390
