type_mouse,brand_mouse,model_name_mouse,connection_type_mouse,resolution_dpi_mouse,buttons_mouse,batteryfeatures_mouse,warranty_mouse,price_mouse
Wireless Mouse,NUBWO,NMB159 BLACK,Wireless 2.4GHz,1600,4,-,3M,59
Wireless Mouse,OKER,M198 BLACK,Wireless 2.4GHz,1000,3,-,1Y,75
Wireless Mouse,OKER,M198 WHITE,Wireless 2.4GHz,1000,3,-,1Y,75
Wireless Mouse,OKER,M845 BLACK,Wireless 2.4GHz,1200,3,1 x AA,1Y,110
Wireless Mouse,OKER,M894 BLACK,Wireless 2.4GHz,1600,4,-,1Y,115
Wireless Mouse,OKER,M894 GREEN,Wireless 2.4GHz,1600,4,1 x AA,1Y,115
Wireless Mouse,OKER,M845 WHITE,Wireless 2.4GHz,1200,3,1 x AA,1Y,120
Wireless Mouse,OKER,M857 BLACK,Wireless 2.4GHz,3200,4,2 x AAA,1Y,120
Wireless Mouse,OKER,M857 WHITE,Wireless 2.4GHz,3200,4,2 x AAA,1Y,120
Wireless Mouse,NUBWO,NMB017 BLACK,Wireless 2.4GHz,1600,4,2 x AAA,1Y,125
Wireless Mouse,NUBWO,NMB017 BLUE,Wireless 2.4GHz,1600,4,2 x AAA,1Y,125
Wireless Mouse,NUBWO,NMB017 GRAY,Wireless 2.4GHz,1600,4,2 x AAA,1Y,125
Wireless Mouse,NUBWO,NMB017 RED,Wireless 2.4GHz,1600,4,2 x AAA,1Y,125
Wireless Mouse,AOC,MS200 BLACK,Wireless 2.4GHz,1200,3,-,220 day,135
Wireless Mouse,AOC,MS400 BLACK,Wireless 2.4GHz / BT 5.2,1600,4,-,220 day,135
Wireless Mouse,MOFII,JOY BLACK,Wireless 2.4GHz,1200,3,-,1Y,135
Wireless Mouse,OKER,V16 BLACK,Wireless 2.4GHz,1600,3,1 x AA,1Y,135
Wireless Mouse,OKER,V16 GREEN,Wireless 2.4GHz,1600,3,1 x AA,1Y,135
Wireless Mouse,OKER,V16 WHITE,Wireless 2.4GHz,1600,3,1 x AA,1Y,135
Wireless Mouse,AOC,MS200 WHITE,Wireless 2.4GHz,1200,3,-,220 day,145
Wireless Mouse,MOFII,COCO GRAPHITE,Wireless 2.4GHz,1200,3,-,1Y,145
Wireless Mouse,MOFII,COCO OFFWHITE,Wireless 2.4GHz,1200,3,-,1Y,145
Wireless Mouse,MOFII,COCO PINK,Wireless 2.4GHz,1200,3,-,1Y,145
Wireless Mouse,NUBWO,NMB010 BLACK,Wireless 2.4GHz,1600,6,1 x AA,1Y,155
Wireless Mouse,MOFII,RABBIT GREEN,Wireless 2.4GHz,1200,3,Silent,1Y,160
Wireless Mouse,MOFII,RABBIT MILKTEA,Wireless 2.4GHz,1200,3,Silent,1Y,160
Wireless Mouse,MOFII,RABBIT PINK,Wireless 2.4GHz,1200,3,Silent,1Y,160
Wireless Mouse,ANITECH,W214 RED,Wireless 2.4GHz,1600,3,1 x AA,2Y,165
Wireless Mouse,ANITECH,W217,Wireless 2.4GHz,1000,3,1 x AA,2Y,165
Wireless Mouse,ANITECH,W224 BLACK,Wireless 2.4GHz,1000,3,1 x AA,2Y,165
Wireless Mouse,ANITECH,W224 WHITE,Wireless 2.4GHz,1000,3,1 x AA,2Y,165
Wireless Mouse,NUBWO,NMB014 BLACK,Wireless 2.4GHz,1200,6,1 x AA,1Y,165
Wireless Mouse,NUBWO,NMB014 BLUE,Wireless 2.4GHz,1200,6,1 x AA,1Y,165
Wireless Mouse,NUBWO,NMB014 GRAY,Wireless 2.4GHz,1200,6,1 x AA,1Y,165
Wireless Mouse,NUBWO,NMB016 BLACK,Wireless 2.4GHz,1600,3,1 x AA,1Y,165
Wireless Mouse,ANITECH,W231 BLACK,Wireless 2.4GHz,1600,6,1 x AA,2Y,175
Wireless Mouse,AOC,MS210 BLACK,Wireless 2.4GHz,600,4,-,220 day,190
Wireless Mouse,MOFII,MOMO MILKTEA,Wireless 2.4GHz,1600,4,Silent,1Y,199
Wireless Mouse,MOFII,MOMO WHITE,Wireless 2.4GHz,1600,4,Silent,1Y,199
Wireless Mouse,ACER,AMR100 BLUE,Wireless 2.4GHz,1600,3,-,LT,199
Wireless Mouse,ACER,AMR100 PEACH,Wireless 2.4GHz,1600,3,-,LT,199
Wireless Mouse,AOC,MS220 day BLACK,Wireless 2.4GHz,1600,6,-,220 day,220 day
Wireless Mouse,MOFII,KITTEN BLUE,Wireless 2.4GHz,1600,4,Silent,1Y,229
Wireless Mouse,MOFII,KITTEN BROWN,Wireless 2.4GHz,1600,4,Silent,1Y,229
Wireless Mouse,MOFII,KITTEN PINK,Wireless 2.4GHz,1600,4,Silent,1Y,229
Wireless Mouse,MOFII,KITTEN PURPLE,Wireless 2.4GHz,1600,4,Silent,1Y,229
Wireless Mouse,LOGITECH,M171D GRAY/BLACK,Wireless 2.4GHz,1000,3,1 x AA,1Y,235
Wireless Mouse,LOGITECH,M171R RED/BLACK,Wireless 2.4GHz,1000,3,1 x AA,1Y,235
Wireless Mouse,LOGITECH,M171 BLUE/GRAY,Wireless 2.4GHz,1000,3,-,1Y,235
Wireless Mouse,LOGITECH,M171 ROSE,Wireless 2.4GHz,1000,3,-,1Y,235
Wireless Mouse,LOGITECH,B170,Wireless 2.4GHz,1000,3,-,1Y,239
Wireless Mouse,LOGITECH,M185BL BLACK/BLUE,Wireless 2.4GHz,1000,3,1 x AA,3Y,250
Wireless Mouse,LOGITECH,M185D BLACK/GREY,Wireless 2.4GHz,1000,3,1 x AA,3Y,250
Wireless Mouse,LOGITECH,M185R BLACK/RED,Wireless 2.4GHz,1000,3,1 x AA,3Y,250
Wireless Mouse,LENOVO,150 BLACK,Wireless 2.4GHz,1600,3,-,1Y,259
Wireless Mouse,HP,S1000 PLUS BLACK,Wireless 2.4GHz,1600,4,-,220 day,260
Wireless Mouse,HP,150 BLACK,Wireless 2.4GHz,1600,4,1 x AA,1Y,280
Wireless Mouse,LOGITECH,M221 BLACK,Wireless 2.4GHz,1000,3,1 x AA / Silent,3Y,295
Wireless Mouse,HP,S1000C BLACK,Wireless 2.4GHz,1600,4,-,220 day,350
Wireless Mouse,HP,S1000C WHITE,Wireless 2.4GHz,1600,4,-,220 day,350
Wireless Mouse,ACER,BR200 LAVENDER,Wireless 2.4GHz,1600,4,-,LT,375
Wireless Mouse,ACER,BR200 GRAY,Wireless 2.4GHz,1600,4,-,LT,379
Wireless Mouse,ACER,BR200 LIGHTPINK,Wireless 2.4GHz,1600,4,-,LT,379
Wireless Mouse,ACER,RM400 BLACK,Wireless 2.4GHz,1600,4,-,LT,379
Wireless Mouse,ACER,RM400 GRAY,Wireless 2.4GHz,1600,4,-,LT,379
Wireless Mouse,ACER,RM400 PINK,Wireless 2.4GHz,1600,4,-,LT,379
Wireless Mouse,HP,200 BLACK,Wireless 2.4GHz,1000,3,-,1Y,379
Wireless Mouse,HP,S4000 PINK,Wireless 2.4GHz,1600,4,2 x AAA / Silent,220 day,390
Wireless Mouse,HP,S4000 WHITE,Wireless 2.4GHz,1600,4,2 x AAA / Silent,220 day,390
Wireless Mouse,DELL,WM126 BLACK,Wireless 2.4GHz,1000,3,1 x AA,1Y,390
Wireless Mouse,LOGITECH,M190 BLACK,Wireless 2.4GHz,1000,3,-,1Y,390
Wireless Mouse,LOGITECH,M190 BLUE,Wireless 2.4GHz,1000,3,-,1Y,390
Wireless Mouse,LOGITECH,M190 RED,Wireless 2.4GHz,1000,3,-,1Y,390
Wireless Mouse,LOGITECH,M331B BLUE,Wireless 2.4GHz,1000,3,1 x AA,1Y,425
Wireless Mouse,LOGITECH,M331D BLACK,Wireless 2.4GHz,1000,3,1 x AA,1Y,425
Wireless Mouse,LOGITECH,M331R RED,Wireless 2.4GHz,1000,3,1 x AA,1Y,425
Wireless Mouse,LENOVO,530 CHERRY RED,Wireless 2.4GHz,1200,3,1 x AA,1Y,449
Wireless Mouse,LENOVO,530 ALMOND,Wireless 2.4GHz,1200,3,1 x AA,1Y,490
Wireless Mouse,LENOVO,530 GRAPHITE,Wireless 2.4GHz,1200,3,1 x AA,1Y,490
Wireless Mouse,LENOVO,530 PLATINUM GREY,Wireless 2.4GHz,1200,3,1 x AA,1Y,490
Wireless Mouse,ACER,BUTTER BEAR BLIND BOX,Wireless 2.4GHz,1600,3,-,LT,499
Wireless Mouse,HP,280 BLACK,Wireless 2.4GHz,1000,3,Silent,1Y,529
Wireless Mouse,DELL,MS3320W BLACK,Wireless 2.4GHz,1600,3,1 x AA,3Y,640
Wireless Mouse,NUBWO,NMB032 GREY,Wireless 2.4GHz / BT,1600,4,2 x AAA,1Y,90
Wireless Mouse,NUBWO,NMB032 BLACK,Wireless 2.4GHz / BT,1600,4,2 x AAA,1Y,90
Wireless Mouse,OKER,M825 WHITE,Multi mode,1600,6,1 x AA,1Y,150
Wireless Mouse,NUBWO,NMB036 LIGHTBLUE DARKBLUE,Wireless 2.4GHz / BT 5.0,1600,4,-,1Y,169
Wireless Mouse,NUBWO,NMB036 PURPLE DARKBLUE,Wireless 2.4GHz / BT 5.0,1600,4,-,1Y,169
Wireless Mouse,OKER,M836 BLACK,Wireless 2.4GHz / BT,1600,4,-,1Y,170
Wireless Mouse,NUBWO,NMD08 WHITE,Wireless 2.4GHz / BT,1200,3,-,1Y,199
Wireless Mouse,NUBWO,NMD08 BLACK,Wireless 2.4GHz / BT,1200,3,-,1Y,199
Wireless Mouse,AOC,MS300 BLACK,Wireless 2.4GHz / BT,1600,4,-,220 day,229
Wireless Mouse,AOC,MS300 WHITE,Wireless 2.4GHz / BT,1600,4,-,220 day,229
Wireless Mouse,AOC,MS610 GRAY,Wireless 2.4GHz / BT,1600,5,-,220 day,239
Wireless Mouse,LOGITECH,M196 GRAPHITE,Bluetooth LE,1000,3,-,1Y,290
Wireless Mouse,LOGITECH,M196 ROSE,Bluetooth LE,1000,3,-,1Y,290
Wireless Mouse,ANITECH,W226 BLACK,Wireless 2.4GHz / BT,1600,5,1 x AA,2Y,300
Wireless Mouse,HP,240 RED,Bluetooth,1600,3,1 x AA,1Y,370
Wireless Mouse,LOGITECH,M240 ROSE,Bluetooth,4000,3,Silent,1Y,380
Wireless Mouse,LENOVO,350 BREEZE MOS,Bluetooth 5.3,2400,6,Silent,1Y,390
Wireless Mouse,LENOVO,350 CLOUD GREY,Bluetooth 5.3,2400,6,Silent,1Y,390
Wireless Mouse,LENOVO,350 META GRAPE,Bluetooth 5.3,2400,6,Silent,1Y,390
Wireless Mouse,AOC,GM220 day BLACK,Multi mode,8000,6,-,220 day,449
Wireless Mouse,HP,DM10 BLACK,Wireless 2.4GHz / BT,1600,3,-,1Y,449
Wireless Mouse,HP,DM10 GRAY,Wireless 2.4GHz / BT,1600,3,-,1Y,449
Wireless Mouse,LOGITECH,M350S TONAL GRAPHITE,Bluetooth LE,4000,3,-,1Y,610
Wireless Mouse,LOGITECH,M350S TONAL ROSE,Bluetooth LE,4000,3,-,1Y,610
Wireless Mouse,LOGITECH,M350S TONAL WHITE,Bluetooth LE,4000,3,-,1Y,610
Wireless Mouse,HP,400 QUIET BLACK,Wireless 2.4GHz / BT 5.1,6000,5,Silent,1Y,750
Wireless Mouse,HP,400 QUIET BLUE,Wireless 2.4GHz / BT 5.1,6000,5,Silent,1Y,750
