brand_cpu,name_cpu,benchmark_cpu,rank_cpu,value_cpu,socket_cpu,price_cpu,core_count,thread_count
Intel,Intel 300,7257,1897,88.5,LGA 1700,2551.84,2,4
Intel,Intel 300T,5567,2247,67.89,LGA 1700,2551.84,2,4
Intel,Intel Core i3-10100 @ 3.60GHz,8511,1724,58.3,LGA 1200,4543.2088,4,8
Intel,Intel Core i3-10100E @ 3.20GHz,7816,1807,62.53,LGA 1200,3890,4,8
Intel,Intel Core i3-10100F @ 3.60GHz,8715,1699,128.35,LGA 1200,2113.048,4,8
Intel,Intel Core i3-10100T @ 3.00GHz,7299,1889,59.83,LGA 1200,3796.64,4,8
Intel,Intel Core i3-10100TE @ 2.30GHz,6371,2065,46.17,LGA 1200,4294.56,4,8
Intel,Intel Core i3-10105 @ 3.70GHz,8256,1748,48.8,LGA 1200,5264.8816,4,8
Intel,Intel Core i3-10105F @ 3.70GHz,8894,1686,55.89,LGA 1200,4952.1256,4,8
Intel,Intel Core i3-10105T @ 3.00GHz,7796,1812,86.63,LGA 1200,2800.4888,4,8
Intel,Intel Core i3-10300 @ 3.70GHz,9290,1644,87.48,LGA 1200,3304.6328,4,8
Intel,Intel Core i3-10300T @ 3.00GHz,7868,1802,79.47,LGA 1200,3080.88,4,8
Intel,Intel Core i3-10305 @ 3.80GHz,9210,1655,39.77,LGA 1200,7207.392,4,8
Intel,Intel Core i3-10305T @ 3.00GHz,8512,1723,59.52,LGA 1200,4450.16,4,8
Intel,Intel Core i3-10320 @ 3.80GHz,9988,1573,83.23,LGA 1200,3734.4,4,8
Intel,Intel Core i3-10325 @ 3.90GHz,10291,1555,54.13,LGA 1200,5915.912,4,8
Intel,Intel Core i3-11100HE @ 2.40GHz,11781,1440,50.56,LGA 1200,7250.96,4,8
Intel,Intel Core i3-12100,12402,1399,101.66,LGA 1700,3796.64,4,8
Intel,Intel Core i3-12100E,13535,1322,47.34,LGA 1700,8898.4528,4,8
Intel,Intel Core i3-12100F,13974,1290,155.31,LGA 1700,2800.1776,4,8
Intel,Intel Core i3-12100T,12443,1398,102,LGA 1700,3796.64,4,8
Intel,Intel Core i3-12100TE,10511,1535,84.09,LGA 1700,3890,4,8
Intel,Intel Core i3-12300,14342,1255,100.29,LGA 1700,4450.16,4,8
Intel,Intel Core i3-12300T,13058,1357,83.17,LGA 1700,4885.84,4,8
Intel,Intel Core i3-13100,14080,1275,84.32,LGA 1700,5196.4176,4,8
Intel,Intel Core i3-13100E,13727,1305,100.2,LGA 1700,4263.44,4,8
Intel,Intel Core i3-13100F,14662,1230,122.2,LGA 1700,3734.0888,4,8
Intel,Intel Core i3-13100T,12714,1381,94.88,LGA 1700,4170.08,4,8
Intel,Intel Core i3-13100TE,11248,1484,82.1,LGA 1700,4263.44,4,8
Intel,Intel Core i3-13300HE,21057,862,67.49,LGA 1700,9709.44,8,12
Intel,Intel Core i3-14100,15149,1205,84.17,LGA 1700,5601.2888,4,8
Intel,Intel Core i3-14100F,15382,1188,144.89,LGA 1700,3303.6992,4,8
Intel,Intel Core i3-14100T,13677,1308,38.59,LGA 1700,11030.484,4,8
Intel,Intel Core i3-2100 @ 3.10GHz,1861,3707,24.49,LGA 1155,2365.12,2,4
Intel,Intel Core i3-2100T @ 2.50GHz,1542,3957,23.86,LGA 1155,2011.2856,2,4
Intel,Intel Core i3-2102 @ 3.10GHz,2029,3586,34.98,LGA 1155,1804.96,2,4
Intel,Intel Core i3-2105 @ 3.10GHz,1846,3719,16.34,LGA 1155,3515.6264,2,4
Intel,Intel Core i3-2120 @ 3.30GHz,1979,3619,19.4,LGA 1155,3174.24,2,4
Intel,Intel Core i3-2120T @ 2.60GHz,1570,3928,8.97,LGA 1155,5446,2,4
Intel,Intel Core i3-2125 @ 3.30GHz,2083,3548,13.44,LGA 1155,4823.2888,2,4
Intel,Intel Core i3-2130 @ 3.40GHz,2067,3560,67.67,LGA 1155,950.4048,2,4
Intel,Intel Core i3-2310E @ 2.10GHz,1845,3720,8.2,LGA 1155,7002,2,4
Intel,Intel Core i3-3210 @ 3.20GHz,2225,3465,13.99,LGA 1155,4948.08,2,4
Intel,Intel Core i3-3220 @ 3.30GHz,2276,3428,22.76,LGA 1155,3112,2,4
Intel,Intel Core i3-3220T @ 2.80GHz,1953,3635,13.31,LGA 1155,4564.9928,2,4
Intel,Intel Core i3-3225 @ 3.30GHz,2280,3426,19.08,LGA 1155,3720.0848,2,4
Intel,Intel Core i3-3240 @ 3.40GHz,2355,3375,57.43,LGA 1155,1275.92,2,4
Intel,Intel Core i3-3245 @ 3.40GHz,2419,3336,16.8,LGA 1155,4481.28,2,4
Intel,Intel Core i3-3250 @ 3.50GHz,2463,3297,27.36,LGA 1155,2800.8,2,4
Intel,Intel Core i3-4100E @ 2.40GHz,1848,3716,8.22,LGA 1150,7002,2,4
Intel,Intel Core i3-4130 @ 3.40GHz,3339,2863,60.64,LGA 1150,1713.4672,2,4
Intel,Intel Core i3-4130T @ 2.90GHz,2870,3080,143.59,LGA 1150,622.0888,2,4
Intel,Intel Core i3-4150 @ 3.50GHz,3400,2829,97.15,LGA 1150,1089.2,2,4
Intel,Intel Core i3-4150T @ 3.00GHz,2892,3070,6.93,LGA 1150,12990.1104,2,4
Intel,Intel Core i3-4160 @ 3.60GHz,3502,2792,66.18,LGA 1150,1646.5592,2,4
Intel,Intel Core i3-4160T @ 3.10GHz,3091,2977,51.53,LGA 1150,1866.8888,2,4
Intel,Intel Core i3-4170 @ 3.70GHz,3576,2764,29.77,LGA 1150,3737.512,2,4
Intel,Intel Core i3-4170T @ 3.20GHz,3144,2948,41.95,LGA 1150,2332.444,2,4
Intel,Intel Core i3-4330 @ 3.50GHz,3485,2795,58.12,LGA 1150,1865.9552,2,4
Intel,Intel Core i3-4340 @ 3.60GHz,3510,2789,89.8,LGA 1150,1216.4808,2,4
Intel,Intel Core i3-4350 @ 3.60GHz,3619,2756,27.84,LGA 1150,4045.6,2,4
