product_name_cpucooler,details_cpucooler,warranty_cpucooler,store_price_cpucooler,online_price_cpucooler
CPU COOLER MONTECH METAL DT24 BASE,For Intel/AMD / Dimension : 134 x 121 x 153mm,3Y,2090,2020
CPU COOLER MONTECH METAL DT24 PREMIUM,For Intel/AMD / Dimension : 137 x 124 x 158mm / ARGB,3Y,2390,2320
CPU COOLER ARCTIC FREEZER 36 A-RGB WHITE,For Intel/AMD / Dimension : 126 x 104 x 159 mm / ARGB,6Y,1690,1690
CPU COOLER ARCTIC FREEZER 36 A-RGB BLACK,For Intel/AMD / Dimension : 126 x 104 x 159 mm / ARGB,6Y,1690,1690
CPU COOLER COOLER MASTER T600 (RR-S6NN-17PN-C1),For Intel/AMD / Dimension : 125 x 73 x 156mm,2Y,790,690
CPU COOLER MONTECH NX400 ARGB WHITE,For Intel/AMD / Dimension : 120 x 74 x 156mm / ARGB,1Y,899,871
CPU COOLER MONTECH NX400 WHITE,For Intel/AMD / Dimension : 120 x 74 x 156mm,1Y,850,827
CPU COOLER COOLER MASTER HYPER 212 3DHP BLACK,For Intel/AMD / Dimension : 133 x 86 x 158mm,5Y,970,920
CPU COOLER COOLER MASTER V4 ALPHA 3DHP BLACK,For Intel/AMD / Dimension : 133 x 114 x 161mm,5Y,1370,1310
CPU COOLER NZXT T120 RC-TN120-B1 BLACK,For Intel/AMD / Dimension : 120 x 66 x 159mm,5Y,1450,1450
CPU COOLER NZXT T120 RC-TN120-W1 WHITE,For Intel/AMD / Dimension : 120 x 66 x 159mm,2Y,1450,1450
CPU COOLER NZXT T120 RC-TR120-B1 RGB BLACK,For Intel/AMD / Dimension : 120 x 66 x 159mm,2Y,1690,1690
CPU COOLER DEEPCOOL GAMMAXX AG400,For Intel/AMD / Dimension : 92 x 120 x 150mm / RGB,1Y,650,630
CPU COOLER COOLER MASTER HYPER 620S ARGB (RR-D6NA-17PA-R1),For Intel/AMD / Dimension : 125 x 137 x 155mm / ARGB,2Y,1290,1250
CPU COOLER COOLER MASTER HYPER 212 SPECTRUM V3 (RR-S4NA-17PA-R1),For Intel/AMD / Dimension : 124 x 73 x 152mm / ARGB,2Y,650,632
CPU COOLER COOLER MASTER HYPER 212 HALO WHITE (RR-S4WW-20PA-R1),For Intel/AMD / Dimension : 124 x 73 x 154mm / ARGB,2Y,1290,1250
CPU COOLER DEEPCOOL AK620 WHITE,For Intel/AMD / Dimension:127110157 mm,3Y,2590,2520
CPU COOLER DEEPCOOL ASSASSIN IV WHITE,For Intel/AMD / Dimension:140x110x160 mm,3Y,3990,3920
CPU COOLER COOLER MASTER T600 PRO (RR-S6NN-17PA-C1),For Intel/AMD / Dimension : 125 x 156 x 102mm / RGB,2Y,990,960
CPU COOLER ARCTIC FREEZER 36 BLACK,For Intel/AMD / Dimension:100x126x159mm,6Y,1390,1390
CPU COOLER DEEPCOOL AG620 ARGB V2 BLACK,For Intel/AMD / Dimension:129x136x161mm,1Y,2290,2220
CPU COOLER DEEPCOOL AG400 ARGB,For Intel/AMD / Dimension : 92 x 120 x 150mm / ARGB,1Y,790,770
CPU COOLER DEEPCOOL AG400 ARGB WHITE,For Intel/AMD / Dimension : 92 x 120 x 150mm / ARGB,1Y,790,777
CPU COOLER DEEPCOOL AK500 ZERO DARK BLACK,For Intel/AMD / Dimension : 127x90x158mm,3Y,2190,2120
CPU COOLER DEEPCOOL AK500 WHITE,For Intel/AMD / Dimension : 127x90x158mm,3Y,2190,2120
CPU COOLER MSI MAG CORE FROZR AA13 BLACK,For Intel/AMD / Dimension : 121 x 94.5 x 152mm / ARGB,3Y,950,925
CPU COOLER MSI MAG CORE FROZR AA13 WHITE,For Intel/AMD / Dimension : 121 x 94.5 x 152mm / ARGB,3Y,930,905
CPU COOLER DEEPCOOL AK400 ZERO DARK PLUS BLACK,For Intel/AMD / Dimension : 120 x 45 x 152mm,3Y,1390,1350
CPU COOLER DEEPCOOL AK400 G2 WHITE,For Intel/AMD / Dimension : 130 x 92 x 151mm,3Y,1390,1390
CPU COOLER DEEPCOOL AK500 G2 BLACK,For Intel/AMD / Dimension : 127 x 89 x 153mm,3Y,1790,1790
CPU COOLER DEEPCOOL AK500 G2 WHITE,For Intel/AMD / Dimension : 127 x 89 x 153mm,3Y,1790,1790
CPU COOLER DEEPCOOL AK620 G2 BLACK,For Intel/AMD / Dimension : 125 x 115 x 153mm,3Y,2490,2490
CPU COOLER DEEPCOOL AK620 G2 WHITE,For Intel/AMD / Dimension : 125 x 115 x 153mm,3Y,2490,2490
CPU COOLER DEEPCOOL AK620 G2 DIGITAL NYX,For Intel/AMD / Dimension : 125 x 115 x 153mm,3Y,2690,2690
CPU COOLER DEEPCOOL AK700 DIGITAL NYX WHITE,For Intel/AMD / Dimension : 124 x 76 x 151mm,3Y,2390,2390
