cpu,mb,gpu,ram,psu,storage,total_price,benchmark_cpu,passmark_gpu,cpu_scaled,gpu_scaled,final_score,level
Intel Core i7-9700 @ 3.00GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),GeForce GTX 1050 Ti,RAM DDR4(3200) 8GB BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ BRONZE) 650W ASUS PRIME,1 TB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 NVMe M.2 2280,20552.2056,13202,6357,0.18634001484780993,0.18248554312822468,0.18518367333193436,General Admin
Intel Core i3-7350K @ 4.20GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce GTX 960,RAM DDR4(3600) 16GB (8GBX2) KINGSTON FURY BEAST (KF436C17BBK2/16) x1,POWER SUPPLY (80+ BRONZE) 650W SEGOTEP BN650W ID PCIE 5.1,256 GB SSD M.2 PCIe 3.0 LEXAR NM620 (LNM620X256G-RNNNG) NVMe M.2 2280,16259.279999999999,4874,6135,0.06744332134087144,0.174798296339901,0.0996498138405803,General Admin
Intel Core i3-9320 @ 3.70GHz,MAINBOARD (1151V2) GIGABYTE H310M M.2 2.0 DDR4 (REV. 1.3),GeForce RTX 3060 Ti,RAM DDR4(3200) 16GB KINGSTON FURY BEAST RGB (KF432C16BB12A/16WP) x1,POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W WHITE,2 TB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/2000G) NVMe M.2 2280,34061.6504,7358,20287,0.10290674433213409,0.664842965476644,0.2714876106754871,General Admin
Intel Core i3-13100TE,MAINBOARD (1700) ASUS H610M-K DDR5,GeForce RTX 3080,RAM DDR5(6400) 32GB (16GBX2) CORSAIR VENGEANCE RGB BLACK (CMH32GX5M2B6400C36) x2,POWER SUPPLY (80+ GOLD) 750W SEGOTEP GM750W WHITE,1 TB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/1000G) NVMe M.2 2280,66893.44,11248,25040,0.15844326423391009,0.8294262266698986,0.3597381529647066,General Admin
AMD Ryzen 5 4500,MAINBOARD (AM4) ASROCK A520M-HVS DDR4,Quadro P2200,RAM DDR4(2666) 16GB HIKSEMI (HSC416U26Z1) x2,POWER SUPPLY (80+ GOLD) 1350W THERMALTAKE TOUGHPOWER GF3,512 GB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 (STD) NVMe M.2 2280,38296.5264,16009,9411,0.22641482496716347,0.28823712732435336,0.24496151567432042,General Admin
Intel Core i3-7101E @ 3.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Radeon RX Vega 56,RAM DDR4(3200) 32GB (16GBX2) HIKSEMI ARMOR BLACK (HSC432U32D3)Recommend x1,POWER SUPPLY (80+GOLD) 850W ASUS PRIME 850G,1 TB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 NVMe M.2 2280,31066.04,4430,13005,0.061104448632288276,0.4126874199245127,0.16657934001995559,General Admin
Intel Core i5-12600,MAINBOARD (1700) ASROCK B760M PRO RS WIFI DDR5,Intel Arc B580,RAM DDR5(5200) 16GB (8GBX2) CORSAIR VENGEANCE BLACK (CMK16GX5M2B5200Z40) x2,POWER SUPPLY (FULL) 600W DTECH PW008,500 GB SSD M.2 PCIe 4.0 LEXAR NM710 NVMe M.2 2280,39287.6888,21343,15825,0.3025669579121695,0.5103362304788948,0.36489773968218703,General Admin
Intel Core i5-10400 @ 2.90GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Radeon RX Vega 64,RAM DDR4(2666) 16GB BLACKBERRY x2,POWER SUPPLY 650W OKER EB-650,500 GB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/500G) NVMe M.2 2280,31620.2088,11986,13910,0.16897949860087944,0.4440250701201566,0.25149317005666255,General Admin
Intel Core i5-7600 @ 3.50GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),Intel Arc,RAM DDR4(3200) 16GB APACER NOX RGB BLACK (AH4U16G32C28YNBAA-1) x1,POWER SUPPLY 650W OKER EB-650,128 GB SSD M.2 PCIe 3.0 HIKSEMI WAVE (P) NVMe M.2 2280,17620.4352,6580,5491,0.09179944035177887,0.15249835520620522,0.11000911480810677,General Admin
AMD Ryzen 7 3800X,MAINBOARD (AM4) GIGABYTE A520M S2H DDR4 (REV. 1.3),GeForce GTX 1660 SUPER,RAM DDR4(3200) 32GB (16GBX2) BLACKBERRY MAXIMUS GRAY x1,POWER SUPPLY (80+ BRONZE) 750W AEROCOOL LUX,256 GB SSD M.2 PCIe 3.0 HIKSEMI WAVE (HS-SSD-WAVE(P) 256G) NVMe M.2 2280,24185.3688,22990,12684,0.32608074924333275,0.40157207659545,0.3487281474489679,General Admin
Intel Core i7-8086K @ 4.00GHz,MAINBOARD (1151V2) LONGWELL H310-D4N V3 DDR4,T400,RAM DDR4(3200) 16GB BLACKBERRY MAXIMUS x1,POWER SUPPLY (80+ GOLD) 1000W ASUS ROG STRIX AURA GAMING 1000G,128 GB SSD M.2 PCIe 3.0 HIKSEMI CITY SSD E1000 NVMe M.2 2280,29910.08,14070,3618,0.19873222545828334,0.0876415388344472,0.16540501947113248,General Admin
AMD Ryzen 7 1800X,MAINBOARD (AM4) GIGABYTE B550M GAMING X WIFI6 DDR4 (REV. 1.0),GeForce RTX 2080 Ti,RAM DDR4(2666) 16GB (8GBX2) BLACKBERRY MAXIMUS x2,POWER SUPPLY (80+ GOLD) 850W SILVERSTONE DA850W (SST-DA850R-GMA),1 TB SSD M.2 PCIe 3.0 SANDISK PLUS G26 (SDSSDA3N-1T00-G26) NVMe M.2 2280,38579.008799999996,16280,21483,0.23028382159785277,0.7062571418677933,0.3730758176788349,General Admin
AMD Athlon 200GE,MAINBOARD (AM4) ASROCK A520M-HVS DDR4,Intel Arc A380,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB BLACK (AH4U16G32C28YNBAA-2) x1,POWER SUPPLY (FULL) 650W ANTEC ATOM V650,1 TB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 NVMe M.2 2280,18060.4568,4099,6280,0.05637884758152018,0.17981924581876108,0.09341096705269245,General Admin
AMD Ryzen 7 9700X,MAINBOARD (AM5) ASROCK X870 PRO RS WIFI DDR5,Radeon RX 580,RAM DDR5(5600) 16GB (8GBX2) KINGSTON FURY BEAST (KF556C40BBK2-16) x1,POWER SUPPLY (80+ BRONZE) 600W ITSONAS AURORA ARGB,250 GB SSD M.2 PCIe 4.0 GIGABYTE (G440E250G) NVMe M.2 2280,31409.2968,37087,8791,0.5273399577408486,0.2667682398975034,0.44916844238784503,Smart Office
Intel Core i9-11900KB @ 3.30GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon RX 590,RAM DDR4(3200) 16GB (8GBX2) APACER NOX RGB WHITE (ZC.A01ST.0D7) x2,POWER SUPPLY (FULL) 600W VIKINGS VOYAGE VK600W,1 TB SSD M.2 PCIe 5.0 LEXAR NM990 NVMe M.2 2280,34718.68,22748,9306,0.32262577808234827,0.284601267356903,0.3112184248647146,General Admin
AMD Ryzen 5 5500,MAINBOARD (AM4) MSI B550M PRO VDH WIFI DDR4,Tesla M6,RAM DDR4(3200) 8GB HYNIX 8 CHIP x2,POWER SUPPLY (80+ GOLD) 750W SEGOTEP GM750W WHITE,500 GB SSD M.2 PCIe 3.0 SANDISK PLUS G26 (SDSSDA3N-500G-G26) NVMe M.2 2280,22594.68,19291,6224,0.2732710867454743,0.1778801205027875,0.24465379687266825,General Admin
AMD Ryzen 3 4100,MAINBOARD (AM4) ASUS PRIME A520M-K/CSM (DDR4),Radeon RX 6800,RAM DDR4(3200) 16GB LEXAR THOR OC DARK GREY (LD4BU016G-R3200GSXG) x1,POWER SUPPLY (80+ BRONZE) 650W EINAREX AXIS MASTER L1 WHITE (EXPS-AMH1-650-WH),1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C925G (K01TBM2SP0-25G) NVMe M.2 2280,27957.28,11042,22032,0.15550225572497287,0.7252674954118911,0.32643182763104833,General Admin
AMD Ryzen 5 5600X,MAINBOARD (AM4) GIGABYTE B550M GAMING X WIFI6 DDR4 (REV. 1.0),GeForce RTX 4060,RAM DDR4(3200) 16GB KINGBANK KJXS SILVER x1,POWER SUPPLY (80+ WHITE) 550W SILVERSTONE (SST-ST550-EF),256 GB SSD M.2 PCIe 3.0 LEXAR NM620 (LNM620X256G-RNNNG) NVMe M.2 2280,25868.8888,21844,19529,0.3097196048198275,0.6385955192354307,0.4083823791445085,Smart Office
