cpu,mb,gpu,ram,psu,total_price,benchmark_cpu,passmark_gpu,cpu_scaled,gpu_scaled,final_score,level
Intel Xeon E-2436,MAINBOARD (1700) ASROCK B760 PRO RS DDR5,GeForce GTX 1080 Ti,RAM DDR5(5200) 16GB BLACKBERRY MAXIMUS GRAY x2,POWER SUPPLY 600W TSUNAMI EX600 DEEP SPACE,41407.28,21708,18590,0.30777796813431557,0.4626628955089741,0.38522043182164484,Basic
Intel 300T,MAINBOARD (1700) ASROCK B760 PRO RS DDR5,Radeon R9 350,RAM DDR5(5200) 16GB (8GBX2) CORSAIR VENGEANCE BLACK (CMK16GX5M2B5200Z40) x2,POWER SUPPLY 600W TSUNAMI EX600,35001.84,5567,2005,0.07733710239278169,0.02426581375062779,0.05080145807170474,Basic
Intel Core i3-13300HE,MAINBOARD (1700) GIGABYTE B760M GAMING X DDR5 (REV. 1.0),RTX PRO 4500 Blackwell,RAM DDR5(6400) 64GB (32GBX2) KINGSTON FURY BEAST RGB (KF564C32BBEAK2-64) x2,POWER SUPPLY (CYBENETICS PLATINUM) 850W MONTECH CENTURY II,166259.44,21057,32430,0.29848381017646053,0.8285004361502472,0.5634921231633538,Standard
Intel Xeon E3-1230 v6 @ 3.50GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),RTX A4000,RAM DDR4(3200) 16GB APACER NOX BLACK (AH4U16G32C28YMBAA-1) x2,POWER SUPPLY (80+ SILVER) 650W GIGABYTE P-650SS ICE (GP-650SS ICE),62512.444,8094,19470,0.11341442521843412,0.4859242420237372,0.29966933362108567,Basic
Intel Core i9-11900 @ 2.50GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,GeForce GTX 950,RAM DDR4(3200) 32GB (16GBX2) APACER PANTHER GOLDEN (AH4U32G32C28Y7GAA-2) x2,POWER SUPPLY (80+ BRONZE) 850W THERMALTAKE SMART BX3 (ATX 3.1),45566.6856,22336,5354,0.31674376106447377,0.11279109724828844,0.2147674291563811,Basic
Intel Core i9-14900,MAINBOARD (1700) ASUS PRIME B760M-A WIFI DDR5,Radeon Pro WX 7100,RAM DDR5(4800) 16GB APACER (FL.16G2A.PTH) x2,POWER SUPPLY (80+ GOLD) 1000W SEGOTEP GM1000W,77814.8664,45166,7715,0.64268174290446,0.17520023261346515,0.4089409877589626,Basic
Intel Core i3-8145UE @ 2.20GHz,MAINBOARD (1151V2) LONGWELL H310-H3M DDR4 (REV. 2.0),GeForce RTX 3050 8GB,RAM DDR4(3200) 16GB HIKSEMI ARMOR BLACK (HSC416U32D2)Recommend x2,POWER SUPPLY (80+ GOLD) 850W SEGOTEP GM850W WHITE,30979.72,4010,12509,0.05510821769173662,0.30192170442229915,0.1785149610570179,Basic
Intel Core i3-7100 @ 3.90GHz,MAINBOARD (1151) LONGWELL H110-D4C DDR4 (REV. 2.0),GeForce RTX 4090,RAM DDR4(3200) 16GB KINGBANK KJXS SILVER x2,POWER SUPPLY (80+ BRONZE) 650W ITSONAS DARK FOREST WHITE SFX,87757.2912,4311,38093,0.059405516532465306,0.9781924876424097,0.5187990020874376,Standard
Intel Xeon E-2456,MAINBOARD (1700) ASUS TUF GAMING B760M-PLUS WIFI II (DDR5),GeForce GTX 1080 Ti,RAM DDR5(6400) 32GB (16GBX2) ZADAK SPARK RGB (ZD5-SPR64C55-32G2W2) x2,POWER SUPPLY (80+ BRONZE) 650W MSI MAG A650BNL WHITE,61520.0,20705,18590,0.2934583975786648,0.4626628955089741,0.37806064654381943,Basic
Intel Core i9-12900K,MAINBOARD (1700) ASROCK B760M-ITX WIFI DDR4,GeForce RTX 3050 6GB,RAM DDR4(3200) 16GB ACER UD100 BLACK (ZC.A01ST.0GC) x2,POWER SUPPLY (80+ GOLD) 850W MSI MAG A850GL PCIE5,34621.64,41153,10765,0.5853891839415225,0.2558219449657688,0.42060556445364566,Basic
