cpu,mb,gpu,ram,psu,storage,total_price,benchmark_cpu,passmark_gpu,cpu_scaled,gpu_scaled,final_score,level
AMD Ryzen 7 1700X,MAINBOARD (AM4) ASUS PRIME A520M-K/CSM (DDR4),Radeon Pro Duo,RAM DDR4(3200) 32GB (16GBx2) BLACKBERRY 3200 PRO SERIES BLACK x2 (Total: 64.0GB),POWER SUPPLY (80+ BRONZE) 750W ITSONAS DARK FOREST WHITE SFX,1 TB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 NVMe M.2 2280 (1 TB),164919.0888,15623,8298,0.16484037831716197,0.178141020479373,0.17215573150637803,Entry Creator
Intel Core i9-14900F,MAINBOARD (1700) ASROCK B760M-ITX WIFI DDR4,GeForce RTX 4090,RAM DDR4(3200) 16GB BLACKBERRY 8 CHIP x2 (Total: 32.0GB),POWER SUPPLY (80+ PLATINUM) 1000W GIGABYTE AORUS P1000W (GP-AE1000PM PG5),1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE LITE NVMe M.2 2280 (1 TB),112410.2824,46707,38093,0.640552783814392,0.9778565101860053,0.8260698333187793,Ultimate Workstation
Intel Core i7-13700,MAINBOARD (1700) ASUS PRIME B760M-A DDR5,Radeon RX 7900 XTX,RAM DDR5(5200) 32GB (16GBX2) KINGSTON FURY BEAST RGB WHITE (KF552C40BWAK2-32) x2 (Total: 64.0GB),POWER SUPPLY (80+ GOLD) 850W ASUS TUF GAMING 850G,1 TB SSD M.2 PCIe 5.0 LEXAR NM990 NVMe M.2 2280 (1 TB),93698.2512,36193,31353,0.4796455572220012,0.7969509085540971,0.654163500454654,Pro Creator
AMD Ryzen 7 PRO 7745,MAINBOARD (AM5) MSI PRO X870-P WIFI DDR5,GeForce RTX 4080,RAM DDR5(5200) 32GB (16GBX2) APACER NOX (AH5U32G52C502MBAA-2) x2 (Total: 64.0GB),POWER SUPPLY (80+ GOLD) 750W ANTEC GSK V2,1 TB SSD M.2 PCIe 5.0 SAMSUNG 9100 PRO (MZ-VAP1T0BW) NVMe M.2 2280 (1 TB),98246.08559999999,34826,34436,0.4587248630283738,0.8797004589741524,0.6902614407985521,Pro Creator
Intel Core i9-10900 @ 2.80GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Radeon RX 7900 XT,RAM DDR4(3200) 16GB LEXAR THOR OC DARK GREY (LD4BU016G-R3200GSXG) x2 (Total: 32.0GB),POWER SUPPLY (80+ GOLD) 850W SEGOTEP GM850W,2 TB SSD M.2 PCIe 4.0 WD SN5000 BLUE (WDS200T4B0E) NVMe M.2 2280 (2 TB),61180.7192,19120,28996,0.21835878914021611,0.7336876291703571,0.5017896511567936,Pro Creator
Intel Core i7-11700F @ 2.50GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon Pro WX 8200,RAM DDR4(3200) 16GB BLACKBERRY MAXIMUS x2 (Total: 32.0GB),POWER SUPPLY (80+ BRONZE) 750W DTECH PW071A,2 TB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/2000G) NVMe M.2 2280 (2 TB),80359.6088,20783,12592,0.2438094946588718,0.2933945298870011,0.2710812640343429,Entry Creator
Intel Core i9-10900E @ 2.80GHz,MAINBOARD (1200) LONGWELL H410-VH DDR4,Quadro P5000,RAM DDR4(3200) 16GB KINGSTON FURY BEAST RGB (KF432C16BB12A/16WP) x2 (Total: 32.0GB),POWER SUPPLY (80+ BRONZE) 750W ITSONAS FROZEN,1 TB SSD M.2 PCIe 3.0 SANDISK PLUS G26 (SDSSDA3N-1T00-G26) NVMe M.2 2280 (1 TB),94792.28,19048,12637,0.2172568944935876,0.2946023566041281,0.2597968986543849,Entry Creator
Intel Core i7-14700,MAINBOARD (1700) ASROCK B760M-ITX WIFI DDR4,Quadro RTX 4000,RAM DDR4(3200) 16GB KINGSTON FURY BEAST (KF432C16BB1/16WP) x2 (Total: 32.0GB),POWER SUPPLY (80+ WHITE) 750W MONTECH AP750,1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE LITE NVMe M.2 2280 (1 TB),60934.3584,40794,14892,0.5500596859600257,0.3551278954290469,0.44284720116798737,Entry Creator
Intel Core i9-11900F @ 2.50GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,RTX A4500,RAM DDR4(2666) 16GB BLACKBERRY MAXIMUS GRAY x2 (Total: 32.0GB),POWER SUPPLY (CYBENETICS GOLD) 750W EINAREX NEXUS MASTER L1 BLACK (EXPS-NL1-750-BK),2 TB SSD M.2 PCIe 5.0 LEXAR NQ790 NVMe M.2 2280 (2 TB),75680.76,22089,21101,0.2637966392213278,0.5217811417988565,0.4056881156389686,Entry Creator
Intel Core i7-10700T @ 2.00GHz,MAINBOARD (1200) LONGWELL H510-PRO DDR4,Radeon Pro WX 4150,RAM DDR4(3200) 32GB (16GBX2) KINGSTON FURY BEAST (KF432C16BB1K2/32) x2 (Total: 64.0GB),POWER SUPPLY (CYBENETICS GOLD) 850W SILVERSTONE TRITON 850RX (SST-TR850R-GF),1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE NVMe M.2 2280 (1 TB),53301.28,12904,2579,0.12322855131462153,0.024639665029390447,0.06900466385774444,Entry Creator
