drive_name_hdd,type_hdd,size_hdd,price_hdd,additional_hdd,capacity_gb
1 TB SSD M.2 PCIe 3.0 SANDISK PLUS G26 (SDSSDA3N-1T00-G26) NVMe M.2 2280,M.2 PCIe NVMe,1 TB,3535,"Entry Tier (PCIe 3.0 x4) | Controller: Silicon Motion/Phison | NAND: TLC/QLC | DRAM-less (HMB) | Seq Read/Write: ~3200/3200 MB/s | TBW: ~400",1000
1 TB SSD M.2 PCIe 3.0 HIKSEMI CITY E3000 NVMe M.2 2280,M.2 PCIe NVMe,1 TB,3535,"Entry Tier (PCIe 3.0 x4) | Controller: Maxio MAP1202 | NAND: 3D TLC | DRAM-less (HMB) | Seq Read/Write: ~3400/3000 MB/s | TBW: 500",1000
1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C910G (K01TBM2SP0-10G) NVMe M.2 2280,M.2 PCIe NVMe,1 TB,3630,"Mid Tier (PCIe 4.0 x4) | Controller: InnoGrit IG5220 | NAND: 3D TLC | DRAM-less (HMB) | Seq Read/Write: ~5000/4800 MB/s | TBW: 700",1000
1 TB SSD M.2 PCIe 4.0 KINGSTON NV3 (SNV3S/1000G) NVMe M.2 2280,M.2 PCIe NVMe,1 TB,3730,"Mid-Entry Tier (PCIe 4.0 x4) | Controller: Phison E27T / SMI SM2268XT2 | NAND: QLC | DRAM-less (HMB) | Seq Read/Write: ~6000/4000 MB/s | TBW: 320",1000
1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE LITE NVMe M.2 2280,M.2 PCIe NVMe,1 TB,3790,"Mid Tier (PCIe 4.0 x4) | Controller: Maxio MAP1602 | NAND: YMTC 232L TLC | DRAM-less (HMB) | Seq Read/Write: ~7100/6300 MB/s | TBW: 1800",1000
1 TB SSD M.2 PCIe 4.0 KLEVV CRAS C925G (K01TBM2SP0-25G) NVMe M.2 2280,M.2 PCIe NVMe,1 TB,3930,"High Tier (PCIe 4.0 x4) | Controller: Maxio MAP1602 | NAND: 3D TLC | DRAM-less (HMB) | Seq Read/Write: ~7400/6500 MB/s | TBW: 1200",1000
1 TB SSD M.2 PCIe 4.0 WD SN5000 BLUE (WDS100T4B0E) NVMe M.2 2280,M.2 PCIe NVMe,1 TB,3930,"Mid Tier (PCIe 4.0 x4) | Controller: WD In-house | NAND: BiCS6 TLC | DRAM-less (HMB) | Seq Read/Write: ~5150/4900 MB/s | TBW: 600",1000
1 TB SSD M.2 PCIe 3.0 WD RED NAS SN700 (WDS100T1R0C) NVMe M.2 2280,M.2 PCIe NVMe,1 TB,3930,"NAS Tier (PCIe 3.0 x4) | Controller: WD In-house | NAND: 3D TLC | DRAM Cache | Seq Read/Write: ~3430/3000 MB/s | TBW: 2000",1000
1 TB SSD M.2 PCIe 4.0 HIKSEMI FUTURE NVMe M.2 2280,M.2 PCIe NVMe,1 TB,3990,"High Tier (PCIe 4.0 x4) | Controller: Maxio MAP1602A | NAND: YMTC 232L TLC | DRAM-less (HMB) | Seq Read/Write: ~7450/6600 MB/s | TBW: 1800",1000
1 TB SSD M.2 PCIe 4.0 SANDISK EXTREME G26 (SDSSDX3N-1T00-G26) NVMe M.2 2280,M.2 PCIe NVMe,1 TB,3930,"Mid-High Tier (PCIe 4.0 x4) | Controller: WD In-house | NAND: 3D TLC | DRAM-less (HMB) | Seq Read/Write: ~5150/4900 MB/s | TBW: 600",1000
