category_headsets,name_headsets,specifications_headsets,warranty_headsets,price_headsets
Headset,Headset OKER (SM-350) Black,3.5mm / 12-22 000 Hz,1Y,129
Headset,Headset OKER (X-490) Black,3.5mm / 100HZ-10KHZ,1Y,170
Headset,Headset OKER (OE-2699) Black,AUX 3.5 mm / Speaker Frequency Response : 20Hz-20kHz / Cable length : 2.1M,1Y,180
Headset,Headset EGA LITE (H107) Black,AUX 3.5mm / Speaker Frequency Response : 20Hz-20KHz / Cable length : 1.8M,1Y,169
Headset,Headset EGA LITE (H109) Black,USB / AUX 3.5 / Speaker Frequency Response : > 20 Hz-20 KHz / Microphone Frequency Response : 100 Hz-10 KHz / Cable length : 2M,1Y,219
Headset,Headset EGA LITE (H106) Black,USB / AUX 3.5mm / Speaker Frequency Response : 20Hz-20kHz,1Y,249
Headset,Headset EGA LITE (H112) Black,USB Type-C / USB Type-C to USB Type-A / Speaker Frequency Response : 20Hz-20kHz,1Y,249
Headset,Headset EGA LITE (H111) Black,USB / AUX 3.5mm / Speaker Frequency Response : 20Hz-20kHz,1Y,259
Headset,Headset EGA LITE (H110) Black,USB / Speaker Frequency Response : > 20 Hz-20 KHz / Microphone Frequency Response : 10Hz-10KHz / Cable length : 2M,1Y,259
Headset,Headset EGA LITE (H105) Black,USB / Speaker Frequency Response : 20Hz-20KHz / Microphone Frequency Response : 15Hz-20Khz / Cable length : 2M,1Y,329
Headset,Headset RAPOO (H100) AUX Black,AUX 3.5 mm / Speaker Frequency Response : 20Hz-20kHz,2Y,290
Headset,Headset RAPOO (H120) USB Black,USB / Speaker Frequency Response : 20Hz-20kHz,2Y,490
Headset,Headset RAPOO (H150S) USB Black,USB / Speaker Frequency Response : 20Hz-20kHz / Stereo 2.0,2Y,499
Headset,Headset HP (DHH1601) Black,AUX 3.5 mm / Speaker Frequency Response : 20Hz-20kHz,2Y,265
Headset,Headset HP (DHE8001) Black,AUX 3.5 mm / USB 2.0 / Speaker Frequency Response : 20Hz-20kHz,2*2*0,390
Headset,Headset HP (DHE8010UM Lite) Black,AUX 3.5 mm / USB 2.0 / Speaker Frequency Response : 20Hz-20kHz,2Y,580
Headset,Headset LOGITECH STEREO (H111) Black,AUX 3.5mm / Speaker Frequency Response : 20Hz-20kHz / Microphone Frequency Response : 100 Hz -16kHz / Cable length : 1.8M,1Y,290
Headset,Headset LOGITECH STEREO (H110) Black,AUX 3.5mm / Speaker Frequency Response : 20Hz - 20kHz / Microphone Frequency Response : 100Hz - 16kHz / Cable length : 1.8M,2Y,290
Headset,Headset LOGITECH STEREO (H151) Black,AUX 3.5mm / Speaker Frequency Response : 20Hz - 20kHz / Microphone Frequency Response : 100Hz - 6.50kHz / Cable length : 1.8M,1Y,499
Headset,Headset LOGITECH (H390) Black,USB / Speaker Frequency Response : 20Hz-20kHz / Cable length : 2.33M,2Y,1190
Headset,Headset LOGITECH (H540) Black,USB / Speaker Frequency Response : 20Hz-20kHz / Microphone Frequency Response : 100Hz - 16kHz / Cable length : 1.8M,2Y,1390
Headset,Headset LOGITECH (ZONE300) White,Bluetooth / Speaker Frequency Response : 50Hz - 20kHz / Microphone Frequency Response : 100Hz - 7kHz,2Y,2190
Headset,Headset LOGITECH (ZONE300) Rose,Bluetooth / Speaker Frequency Response : 50Hz - 20kHz / Microphone Frequency Response : 100Hz - 7kHz,2Y,2190
Headset,Headset LOGITECH (ZONE300) Black,Bluetooth / Speaker Frequency Response : 50Hz - 20kHz / Microphone Frequency Response : 100Hz - 7kHz,2Y,2350
Headset,Headset NUBWO (N1 PRO) Black,AUX 3.5 mm / Speaker Frequency Response : 20Hz-20kHz / USB For LED,1Y,289
Headset,Headset BETENO (BH-A8) Black,AUX3.5mm / Speaker Frequency Response : 20Hz-20Khz / Cable length : 1.2M,1Y,490
Headset,Headset PHILIPS (SHP9600) Black,AUX 3.5mm / Speaker Frequency Response : 6 - 35000 Hz,1Y,3190
Headset,Headset EPOS SENNHEISER (IMPACT SC 660) Black,USB 2.0 / Speaker Frequency Response : 50Hz-18kHz,2Y,3290
Headset,Headset SKULLCANDY (SLYR) Black,AUX 3.5 mm / Speaker Frequency Response : 20Hz-20kHz,1Y,3990
Headset,Headset SKULLCANDY (SLYR) Blue,AUX 3.5 mm / Speaker Frequency Response : 20Hz-20kHz,1Y,3990
Wireless Headset,Headset BETENO (BH-A8) Pink,AUX3.5mm / Speaker Frequency Response : 20Hz-20Khz / Cable length : 1.2M,1Y,490
Wireless Headset,Wireless Headset BETENO (BH-188) Pink,Bluetooth / Frequency Response : 20-20KHz / Playing time: up to 18 hours,1Y,690
Wireless Headset,Wireless Headset BETENO (BH-188) Grey,Bluetooth / Frequency Response : 20-20KHz / Playing time: up to 18 hours,1Y,690
Wireless Headset,Wireless Headset BETENO (BH-300) Black,Bluetooth / Speaker Frequency Response : 20Hz-20KHz / LED game light,1Y,890
Wireless Headset,Wireless Headset BASEUS (BASS 35) Stellar White,Bluetooth 5.3 / Frequency Response : 20-20KHz / Playing time: up to 50 hours,2Y,1599
Wireless Headset,Wireless Headset BASEUS (BASS 35) Twilight Grey,Bluetooth 5.3 / Frequency Response : 20-20KHz / Playing time: up to 50 hours,2Y,1599
Wireless Headset,Wireless Headset BASEUS (BOWIE H1i) Stellar White,AUX 3.5mm / Bluetooth 5.3 / Frequency Response : 20Hz-40kHz / Playing time: up to 100 hours,2Y,2199
Wireless Headset,Wireless Headset BASEUS (BOWIE H1i) Cluster Black,AUX 3.5mm / Bluetooth 5.3 / Frequency Response : 20Hz-40kHz / Playing time: up to 100 hours,2Y,2199
Wireless Headset,Wireless Headset CREATIVE ZEN HYBRID 2 - Cream,AUX 3.5 mm / Wireless / Bluetooth 5.3 / Speaker frequency response > 20 Hz-20 KHz,1Y,2390
Wireless Headset,Wireless Headset CREATIVE ZEN HYBRID 2 - Black,AUX 3.5 mm / Wireless / Bluetooth 5.3 / Speaker frequency response > 20 Hz-20 KHz,1Y,2390
Wireless Headset,Wireless Headset PHILIPS (TAH1205) Black,Bluetooth 5.1 / Frequency Response : 20-20KHz / Playing time: up to 15 hours,1Y,1090
Wireless Headset,Wireless Headset PHILIPS (TAH6506) Black,Bluetooth 5.0 / Frequency Response : 20-20KHz / Playing time: up to 30 hours,1Y,2390
Wireless Headset,Wireless Sport Headphone PHILIPS (TAA7607) Black,Bluetooth 5.2 / Frequency Response : 7-40KHz / Playing time: up to 9 hours,1Y,3590
Wireless Headset,Wireless Headset JBL (JUNIOR 320BT) Green,Bluetooth 5.3 / Frequency Response : 20-20KHz / Playing time: up to 50 hours,1Y,2490
Wireless Headset,Wireless Headset JBL (JUNIOR 320BT) Purple,Bluetooth 5.3 / Frequency Response : 20-20KHz / Playing time: up to 50 hours,1Y,2490
Wireless Headset,Wireless Headset JBL (JUNIOR 320BT) Blue,Bluetooth 5.3 / Frequency Response : 20-20KHz / Playing time: up to 50 hours,1Y,2490
Wireless Headset,Wireless Headset JBL (T520-BT) Black,Bluetooth 5.3 / Frequency Response : 20-20KHz / Playing time: up to 57 hours,1Y,2510
Wireless Headset,Wireless Headset JBL (T720-BT) Black,AUX 3.5mm / Bluetooth 5.3 / Frequency Response : 20-20KHz / Playing time: up to 76 hours,1Y,3140
Wireless Headset,Wireless Headset JBL (T720-BT) Blue,AUX 3.5mm / Bluetooth 5.3 / Frequency Response : 20-20KHz / Playing time: up to 76 hours,1Y,3140
Wireless Headset,Wireless Headset JBL (T720-BT) White,AUX 3.5mm / Bluetooth 5.3 / Frequency Response : 20-20KHz / Playing time: up to 76 hours,1Y,3140
Wireless Headset,Wireless Headset JBL (JUNIOR 470NC) White,AUX 3.5mm / Bluetooth 5.3 / Frequency Response : 20-20KHz / Playing time: up to 50 hours,1Y,3990
Wireless Headset,Wireless Headset JBL (JUNIOR 470NC) Pink,AUX 3.5mm / Bluetooth 5.3 / Frequency Response : 20-20KHz / Playing time: up to 50 hours,1Y,3990
Wireless Headset,Wireless Headset JBL (JUNIOR 470NC) Blue,AUX 3.5mm / Bluetooth 5.3 / Frequency Response : 20-20KHz / Playing time: up to 50 hours,1Y,3990
Wireless Headset,Wireless Headset JBL (T770-NCBT) Black,AUX 3.5mm / Bluetooth 5.3 / Frequency Response : 20-20KHz / Playing time: up to 70 hours,1Y,3860
Wireless Headset,Wireless Headset JBL (TOUR ONE M3 SMART TX) Latte,Bluetooth 5.3 / Frequency Response : 10-40KHz / Playing time: up to 70 hours,1Y,15900
Wireless Headset,Wireless Headset JBL (TOUR ONE M3 SMART TX) Black,Bluetooth 5.3 / Frequency Response : 10-40KHz / Playing time: up to 70 hours,1Y,15900
Wireless Headset,Wireless Headset OKER (F988) Black,Bluetooth / Speaker Frequency Response : 20Hz-20KHz,1Y,349
Wireless Headset,Wireless Headphone REMAX (RB-100HB) Blue,AUX 3.5mm / Bluetooth 5.4 / Frequency Response : 20-20KHz / Playing time: up to 19 hours,1Y,459
Wireless Headset,Wireless Headset RAPOO (H200) Black,Bluetooth / Speaker Frequency Response : 50Hz - 20kHz,2Y,899
Wireless Headset,Wireless Headset JLAB (JBUDS LUX ANC) Cloud White,USB Type-C / Wireless / Bluetooth 5.3 / Speaker frequency response > 20 Hz-20 KHz,2Y,2990
Wireless Headset,Wireless Headset JLAB (JBUDS LUX ANC) Mauve,USB Type-C / Wireless / Bluetooth 5.3 / Speaker frequency response > 20 Hz-20 KHz,2Y,2990
