category_mainboards,name_mainboards,specifications_mainboards,socket_mainboards,warranty_mainboards,price_mainboards
AMD AM4 (A320 - A520),MAINBOARD (AM4) LONGWELL A320M-VH DDR4,Socket AM4 / AMD A320 / 2xDDR4 / 1xPCIe 3.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket AM4,1Y,1390
AMD AM4 (A320 - A520),MAINBOARD (AM4) LONGWELL A520M-YH DDR4,Socket AM4 / AMD A520 / 2xDDR4 / 1xPCIe 3.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket AM4,1Y,1450
AMD AM4 (A320 - A520),MAINBOARD (AM4) MSI A520M-A PRO DDR4,Socket AM4 / AMD A520 / 2xDDR4 / 1xPCIe3.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xLAN 1Gb,Socket AM4,3Y,1450
AMD AM4 (A320 - A520),MAINBOARD (AM4) GIGABYTE A520M-K V2 DDR4 (REV. 1.1),Socket AM4 / AMD A520 / 2xDDR4 / 1xPCIe3.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket AM4,3Y,1450
AMD AM4 (A320 - A520),MAINBOARD (AM4) ASROCK A520M-HVS DDR4,Socket AM4 / AMD A520 / 2xDDR4 / 1xPCIe3.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket AM4,3Y,1460
AMD AM4 (A320 - A520),MAINBOARD (AM4) ASUS PRIME A520M-K DDR4,Socket AM4 / AMD A520 / 2xDDR4 / 1xPCIe 3.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket AM4,3Y,1500
AMD AM4 (A320 - A520),MAINBOARD (AM4) ASUS PRIME A520M-K/CSM (DDR4),Socket AM4 / AMD A520 / 2xDDR4 / 1xPCIe 3.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xHDMI / 1xLAN 1Gb,Socket AM4,3Y,1450
AMD AM4 (A320 - A520),MAINBOARD (AM4) GIGABYTE A520M H ARGB DDR4 (rev. 1.0),Socket AM4 / AMD A520 / 2xDDR4 / 1xPCIe 3.0 / 4xSATA / 1xM.2 Slots / Micro ATX / 1xHDMI / 1xDisplayPort / 1xLAN 1Gb,Socket AM4,3Y,1690
AMD AM4 (A320 - A520),MAINBOARD (AM4) GIGABYTE A520M S2H DDR4 (REV. 1.3),Socket AM4 / AMD A520 / 2xDDR4 / 1xPCIe 3.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xD-Sub / 1xDVI / 1xHDMI / 1xLAN 1Gb,Socket AM4,3Y,2010
AMD AM4 (B450 - B550),MAINBOARD (AM4) LONGWELL B450M-VDH DDR4,Socket AM4 / AMD B450 / 2xDDR4 / 1xPCIe3.0 / 4xSATA / 1xM.2 Slots / Micro ATX / 1xVGA / 1xDVI / 1xHDMI / 1xLAN 1Gb,Socket AM4,3Y,1480
AMD AM4 (B450 - B550),MAINBOARD (AM4) ASROCK B450M HDV DDR4 R4.0,Socket AM4 / AMD B450 / 2xDDR4 / 1xPCIe3.0 / 4xSATA / 1xM.2 Slots / Micro ATX / 1xLAN 1Gb,Socket AM4,3Y,1550
AMD AM4 (B450 - B550),MAINBOARD (AM4) ASROCK B450M PRO4 DDR4 R2.0,Socket AM4 / AMD B450 / 4xDDR4 / 1xPCIe3.0 / 4xSATA / 1xM.2 Slots / Micro ATX / 1xLAN 1Gb,Socket AM4,3Y,2350
AMD AM4 (B450 - B550),MAINBOARD (AM4) GIGABYTE B450M DS3H V3 DDR4 (REV. 1.5),Socket AM4 / AMD B450 / 4xDDR4 / 1xPCIe 3.0 / 4xSATA / 1xM.2 Slot / Micro ATX / 1xHDMI / 1xLAN 1Gb,Socket AM4,3Y,2290
