category_microphones,name_microphones,specifications_microphones,warranty_microphones,price_microphones
GAMING MICROPHONE,MICROPHONE NUBWO X600 PLUS WHITE,USB-C / 20Hz - 20kHz,2Y,990
GAMING MICROPHONE,MICROPHONE NUBWO X700 ALMIGHTY,USB 2.0 / 20Hz - 48kHz,2Y,490
GAMING MICROPHONE,MICROPHONE ONIKUMA M930 RGB BLACK,USB 2.0 / 50Hz-20KHz,2Y,549
GAMING MICROPHONE,MICROPHONE FANTECH MCX03 LEVIOSA MAX BLACK,USB Type C / 20Hz-20kHz,2Y,790
GAMING MICROPHONE,MICROPHONE FANTECH MCX03 LEVIOSA MAX WHITE,USB Type C / 20Hz-20kHz,2Y,790
GAMING MICROPHONE,MICROPHONE WIRELESS NUBWO M38 (TYPEC),USB Type C / Wireless 2.4GHz / Microphone Frequency Response : 20Hz-20KHz,1Y,790
GAMING MICROPHONE,MICROPHONE ONIKUMA HOKO M630 PINK,USB / 20Hz-20kHz,2Y,850
GAMING MICROPHONE,MICROPHONE ONIKUMA HOKO M730 RGB BLACK,"USB TYPE-C / 100 Hz-10,000 Hz",2Y,950
GAMING MICROPHONE,MICROPHONE ONIKUMA HOKO M730 RGB WHITE,"USB TYPE-C / 100 Hz-10,000 Hz",2Y,950
GAMING MICROPHONE,MICROPHONE WIRELESS SIGNO MP708 MARROX BLACK,USB 2.0 Receiver / USB Type-C / 20Hz-20kHz,2Y,950
GAMING MICROPHONE,MICROPHONE FANTECH MCX01 LEVIOSA,USB / 20Hz-20kHz,2Y,1090
GAMING MICROPHONE,MICROPHONE EGA TYPEGMC1 PRO,USB Type C to Type A / 20Hz-20kHz,2Y,1290
GAMING MICROPHONE,MICROPHONE LOGITECH YETI ORB BLACK,USB-C / 70Hz-20KHz,2Y,1450
GAMING MICROPHONE,MICROPHONE LOGITECH YETI ORB WHITE,USB-C / 70Hz-20KHz,2Y,1450
GAMING MICROPHONE,MICROPHONE HYPERX SOLOCAST BLACK,USB / 20Hz-20kHz,2Y,1790
GAMING MICROPHONE,MICROPHONE HYPERX SOLOCAST 2 BLACK,USB Type-C / 20Hz-20kHz,2Y,1990
GAMING MICROPHONE,MICROPHONE RAZER SEIREN V3 CHROMA QUARTZ,USB Type A to Type C USB / 20Hz-20kHz,1Y,3600
GAMING MICROPHONE,MICROPHONE RAZER SEIREN V3 CHROMA WHITE,USB Type A to Type C USB / 20Hz-20kHz,1Y,3600
GAMING MICROPHONE,MICROPHONE LOGITECH YETI GX BLACK,USB-C / 60Hz-18.5KHz,2Y,3850
