name_gpu,passmark_gpu,rank_gpu,videocard_value_gpu,price_gpu,creator_weight,vram_gb
GeForce RTX 5090,38918,4,10.81,127800,1.0,32
GeForce RTX 4090,38093,5,11.04,72900,1.0,24
GeForce RTX 5080,35722,6,25.53,49700,1.0,16
GeForce RTX 4080,34436,8,23.43,38500,1.0,16
GeForce RTX 4080 SUPER,34251,9,21.43,39900,1.0,16
GeForce RTX 5070 Ti,32472,12,26.45,43600,1.0,16
RTX PRO 4500 Blackwell,32430,13,12.97,88700,3.0,24
GeForce RTX 4070 Ti SUPER,31797,15,18.69,30900,1.0,16
RTX PRO 5000 Blackwell,31628,16,6.59,170400,3.0,32
GeForce RTX 4070 Ti,31568,17,37.14,27500,1.0,12
Radeon RX 7900 XTX,31353,18,26.13,39900,1.0,24
GeForce RTX 4070 SUPER,29966,22,33.3,23900,1.0,12
GeForce RTX 3090 Ti,29325,23,16.48,28000,1.0,24
Radeon RX 7900 XT,28996,24,41.42,31900,1.0,20
GeForce RTX 5070,28788,25,44.29,23100,1.0,12
Radeon RX 6950 XT,28098,29,23.61,22000,1.0,16
Radeon RX 7900 GRE,27291,35,50.54,21900,1.0,16
GeForce RTX 4070,26914,37,36.81,19900,1.0,12
Radeon RX 9070 XT,26876,38,36.82,25900,1.0,16
GeForce RTX 3080 Ti,26795,39,26.8,19000,1.0,12
Radeon RX 6900 XT,26695,40,39.84,17500,1.0,16
GeForce RTX 3090,26557,42,20.43,24000,1.0,24
Radeon RX 9070,25403,44,39.14,23000,1.0,16
GeForce RTX 3080,25040,46,36.88,16500,1.0,10
Radeon RX 6800 XT,25018,47,59.71,14500,1.0,16
Radeon RX 7800 XT,24324,51,46.78,18900,1.0,16
GeForce RTX 3070 Ti,23275,56,44.98,13000,1.0,8
RTX A5000,23015,57,10.32,79200,3.0,24
RTX A6000,22795,60,5.55,145900,3.0,48
GeForce RTX 5060 Ti 16GB,22700,61,28.38,28400,1.0,16
GeForce RTX 4060 Ti 16GB,22660,63,49.26,16300,1.0,16
Radeon RX 7700 XT,22639,64,56.6,15900,1.0,12
GeForce RTX 4060 Ti,22632,65,47.15,14900,1.0,8
GeForce RTX 5060 Ti 8GB,22493,67,54.86,14600,1.0,8
GeForce RTX 3070,22138,69,56.13,11000,1.0,8
Radeon RX 6800,22032,70,48.96,16000,1.0,16
GeForce RTX 2080 Ti,21483,74,24.44,13500,1.0,11
RTX A5500,21216,75,9.78,77000,3.0,24
RTX A4500,21101,76,18.68,40100,3.0,20
GeForce RTX 5060,20809,78,59.46,12400,1.0,8
Radeon RX 6750 XT,20707,79,24.51,13500,1.0,12
GeForce RTX 3060 Ti,20287,82,53.53,9790,1.0,8
Radeon PRO W6800,20158,84,10.9,65700,3.0,32
TITAN V,20072,85,25.12,28400,3.0,12
Radeon RX 9060 XT 16GB,20069,86,44.6,16000,1.0,16
TITAN RTX,20006,88,17.58,40400,3.0,24
Quadro RTX 8000,19911,89,5.3,133500,3.0,48
Radeon RX 9060 XT 8GB,19803,90,58.21,12100,1.0,8
Radeon RX 6700 XT,19734,92,31.32,10500,1.0,12
GeForce RTX 4060,19529,94,65.1,10500,1.0,8
RTX A4000,19470,95,18.67,37000,3.0,16
GeForce RTX 2080 SUPER,19460,96,24.79,11500,1.0,8
Quadro GV100,18880,102,2.1,319500,3.0,32
GeForce RTX 2080,18621,104,25.34,10500,1.0,8
GeForce GTX 1080 Ti,18590,105,47.06,8490,1.0,11
GeForce RTX 2070 SUPER,18150,109,30.3,9490,1.0,8
Quadro RTX 6000,17826,111,2.83,223600,3.0,24
GeForce RTX 5050,17381,115,66.86,9230,1.0,8
Radeon RX 7600 XT,17296,116,31.45,11900,1.0,16
Radeon RX 6650 XT,17120,120,57.07,9490,1.0,8
GeForce RTX 3060 12GB,16752,128,37.65,8890,1.0,12
Radeon RX 7600,16544,132,60.16,9490,1.0,8
GeForce RTX 2060 SUPER,16489,133,68.71,7490,1.0,8
Radeon RX 6600 XT,16451,134,51.42,8490,1.0,8
Radeon RX 5700 XT,16123,141,76.78,1790,1.0,8
GeForce RTX 2070,16060,142,29.74,8490,1.0,8
Intel Arc B580,15825,146,63.56,8840,1.0,12
GeForce GTX 1080,15612,149,41.19,5990,1.0,8
Quadro P6000,15555,152,4.79,115400,3.0,24
Radeon RX 6700S,15080,159,53.05,10100,1.0,8
Radeon RX 6600,15072,160,60.29,6490,1.0,8
Quadro RTX 4000,14892,166,16.57,31900,2.5,8
GeForce GTX 1070 Ti,14656,172,41.99,5190,1.0,8
Radeon RX 5700,14256,177,45.99,1790,1.0,8
Radeon Pro W5700,14182,178,21.82,23100,2.5,8
GeForce RTX 2060,14103,179,52.96,6490,1.0,6
Radeon RX Vega 64,13910,184,27.88,17700,1.0,8
GeForce GTX 980 Ti,13665,193,21.2,5490,1.0,6
GeForce GTX 1070,13507,199,46.74,4490,1.0,8
RTX A2000,13432,200,23.36,20400,2.5,6
Radeon RX 5600 XT,13418,201,24.44,4990,1.0,6
Intel Arc A770,13347,205,44.49,11500,1.0,16
Radeon RX Vega 56,13005,212,36.33,12700,1.0,8
GeForce GTX 1660 SUPER,12684,216,70.47,4890,1.0,6
GeForce GTX 1660 Ti,12681,217,66.76,5490,1.0,6
Quadro P5000,12637,221,6.76,66300,2.5,16
Intel Arc A750,12606,223,54.81,7890,1.0,8
Radeon Pro WX 8200,12592,224,7.87,56800,2.5,8
GeForce RTX 3050 8GB,12509,226,52.12,6490,1.0,8
Intel Arc A580,12064,237,60.33,6490,1.0,8
GeForce RTX 3050 OEM,11918,240,54.43,7770,1.0,8
Quadro M6000,11734,247,2.38,175100,2.5,12
GeForce GTX 1660,11621,250,52.47,4490,1.0,6
Tesla P40,11595,252,25.21,16300,3.0,24
Quadro P4000,11445,256,38.8,10500,2.5,8
Radeon Pro SSG,10971,268,4.55,85600,2.5,16
RTX A1000,10781,269,20.73,18500,1.5,4
GeForce RTX 3050 6GB,10765,270,51.27,5890,1.0,6
Tesla M40,10219,279,17.03,21300,3.0,12
GeForce GTX 1650 SUPER,10186,280,42.45,3790,1.0,4
GeForce GTX 1060,10056,286,30.02,3490,1.0,6
Tesla T4,9903,287,12.08,29100,3.0,16
GeForce GTX 1060 3GB,9829,289,34.49,2790,1.0,3
Radeon R9 Fury + Fury X,9741,292,21.65,16000,1.0,4
Radeon RX 6500 XT,9630,295,46.81,7290,1.0,4
Radeon R9 Fury,9515,299,21.48,15700,1.0,4
Quadro P2200,9411,308,20.47,16300,1.5,5
Quadro M5000,9396,309,18.83,17700,2.5,8
Radeon RX 590,9306,312,16.92,2490,1.0,8
GeForce GTX 1060 5GB,9205,315,18.86,3190,1.0,5
Tesla P4,9158,318,61.06,5320,3.0,8
Radeon RX 5500 XT,9073,320,56.72,5680,1.0,8
Radeon Pro W5500,8940,322,21.81,14600,2.5,8
Radeon RX 580,8791,329,43.96,2190,1.0,8
Radeon RX 480,8538,331,25.12,12100,1.0,8
Quadro P3200,8488,332,21.8,13800,1.5,6
Radeon Pro Duo,8298,340,2.09,140900,2.5,8
Tesla P100-PCIE-16GB,8067,349,1.42,202300,3.0,16
Radeon RX 470/570,7925,354,20.37,13800,1.0,4
GeForce GTX 1650,7873,357,39.56,3190,1.0,4
Radeon RX 6400,7750,361,17.73,15500,1.0,4
Radeon Pro WX 7100,7715,364,7.36,37200,2.5,8
T1000,7650,371,14.58,18600,1.5,4
Tesla M60,7002,389,37.24,6670,3.0,16
Quadro P2000,6989,391,15.9,15600,1.5,5
Quadro M4000,6672,402,29.14,8130,2.5,8
T600,6369,417,26.54,8520,1.5,4
GeForce GTX 1050 Ti,6357,419,52.99,2190,1.0,4
Intel Arc A380,6280,424,44.87,4190,1.0,6
Tesla M6,6224,428,31.28,7060,3.0,8
GeForce GTX 960,6135,436,24.06,2190,1.0,2
Radeon R9 380X,6130,437,17.52,12400,1.0,4
RTX A400,5990,441,25.71,8270,1.5,4
Radeon R9 380,5977,443,66.43,3190,1.0,4
Intel Arc,5491,480,21.97,8870,1.0,4
Radeon Pro WX 5100,5466,482,15.19,12800,1.5,8
Intel Arc A310,5451,485,45.48,4250,1.0,4
GeForce GTX 950,5354,489,26.91,1590,1.0,2
GeForce GTX 1050,5045,524,26.56,1790,1.0,2
GeForce GTX 1630,4983,529,26.23,6740,1.0,4
Radeon R9 370,4722,553,29.51,5680,1.0,2
Quadro P1000,4498,566,15.51,10300,1.5,4
Quadro M2200,4288,590,17.15,8870,1.5,4
Radeon R9 270 / R7 370,4259,591,19.98,7570,1.0,2
Radeon RX 460,4101,597,24.59,5920,1.0,2
Quadro M2000,4034,603,15.27,9380,1.5,4
Quadro P620,3703,640,6.45,20400,1.5,2
Radeon Pro WX 4100,3683,646,7.37,17700,1.5,4
Radeon RX 560,3681,647,15.09,8660,1.0,4
T400,3618,655,18.09,7090,1.5,2
Quadro P600,3326,688,15.79,7480,1.5,2
Radeon Pro 555,3140,718,2.99,37200,1.5,2
Radeon R7 360,3126,719,21.42,5180,1.0,2
Radeon Pro 455,3112,722,6.93,15900,1.5,2
Radeon R9 360,3031,734,22.64,4750,1.0,2
Tesla M10,2968,739,10.95,9620,3.0,32
Radeon RX 550,2690,784,15.83,6030,1.0,2
Radeon Pro WX 4150,2579,801,4.23,21700,1.5,4
Radeon Pro,2559,805,2.91,31200,1.5,4
Radeon Pro WX 3200,2222,891,11.67,6760,1.5,4
Radeon RX Vega 11,2090,923,2.09,35600,1.0,2
Quadro P520,2017,945,1.35,53200,1.5,2
Radeon R9 350,2005,948,6.71,10600,1.0,2
Radeon RX 570X,1923,979,6.92,1790,1.0,4
Radeon R7 450,1881,994,6.29,10600,1.0,2
Quadro P400,1661,1074,8.26,7140,1.5,2
Radeon R7 430,1087,1283,18.43,2090,1.0,2
