category_powersupplies,name_powersupplies,specifications_powersupplies,warranty_powersupplies,price_powersupplies
SFX FOR MINI-ITX,POWER SUPPLY (80+ SILVER) 400W ITSONAS DARK FOREST 1U FLEX (DF-FX400) SFX,400W / 80 PLUS SILVER / Full Modular / Length 160mm / 1xCPU / 1xPCIe (6+2 Pin),3Y,2450
SFX FOR MINI-ITX,POWER SUPPLY 450W DTECH PW053 SFX,450W / Length 100mm / Non Modular,5Y,520
SFX FOR MINI-ITX,POWER SUPPLY 500W OKER SFX,500W / Length 100mm / Non Modular,1Y,370
SFX FOR MINI-ITX,POWER SUPPLY (80+ SILVER) 500W ITSONAS DARK FOREST 1U FLEX (DF-FX500) SFX,500W / 80 PLUS SILVER / Full Modular / Length 160mm / 1xCPU / 1xPCIe (6+2 Pin),3Y,2630
SFX FOR MINI-ITX,POWER SUPPLY (80+ BRONZE) 550W ITSONAS DARK FOREST SFX,550W / 80 PLUS BRONZE / Full Modular / Length 130mm / 2xCPU / 2xPCIe (6+2 Pin),5Y,2250
SFX FOR MINI-ITX,POWER SUPPLY (80+ BRONZE) 550W ITSONAS DARK FOREST WHITE SFX,550W / 80 PLUS BRONZE / Full Modular / Length 130mm / 2xCPU / 2xPCIe (6+2 Pin),5Y,2250
SFX FOR MINI-ITX,POWER SUPPLY (80+ SILVER) 600W ITSONAS DARK FOREST 1U FLEX (DF-FX600) SFX,600W / 80 PLUS SILVER / Full Modular / Length 160mm / 1xCPU / 1xPCIe (6+2 Pin),3Y,2950
SFX FOR MINI-ITX,POWER SUPPLY (80+ BRONZE) 650W ITSONAS DARK FOREST WHITE SFX,650W / 80 PLUS BRONZE / Full Modular / Length 130mm / 2xCPU / 2xPCIe (6+2 Pin),5Y,2860
SFX FOR MINI-ITX,POWER SUPPLY (80+ BRONZE) 650W ITSONAS DARK FOREST SFX,650W / 80 PLUS BRONZE / Full Modular / Length 130mm / 2xCPU / 2xPCIe (6+2 Pin),5Y,2890
SFX FOR MINI-ITX,POWER SUPPLY (80+ BRONZE) 750W ITSONAS DARK FOREST SFX,750W / 80 PLUS BRONZE / Full Modular / Length 130mm / 2xCPU / 2xPCIe (6+2 Pin),5Y,3250
SFX FOR MINI-ITX,POWER SUPPLY (80+ BRONZE) 750W ITSONAS DARK FOREST WHITE SFX,750W / 80 PLUS BRONZE / Full Modular / Length 130mm / 2xCPU / 2xPCIe (6+2 Pin),5Y,3250
400W.-600W.,POWER SUPPLY 450W DTECH PW029 (B/P),450W / Length 140mm / Non Modular,1Y,375
400W.-600W.,POWER SUPPLY 450W DTECH PW030,450W / Length 140mm / Non Modular,1Y,375
400W.-600W.,POWER SUPPLY (FULL) 450W DTECH PW006,450W / FULL WATT / Length 140mm / Non Modular,3Y,610
400W.-600W.,POWER SUPPLY (FULL) 500W DTECH PW007,500W / FULL WATT / Length 140mm / Non Modular,3Y,620
400W.-600W.,POWER SUPPLY (80+ BRONZE) 500W ITSONAS AURORA ARGB,500W / 80 PLUS BRONZE / Full Modular / Length 160mm / 1xCPU / 2xPCIe (6+2 Pin),3Y,1330
400W.-600W.,POWER SUPPLY 550W OKER EB-550W,550W / Length 154mm /,1Y,420
400W.-600W.,POWER SUPPLY 550W DTECH PW032,550W / Length 140mm / Non Modular,1Y,450
400W.-600W.,POWER SUPPLY 550W NUBWO NPS-030,550 WATT / Length 140mm / Non Modular,1Y,450
400W.-600W.,POWER SUPPLY (FULL) 550W TSUNAMI EXTREMEX EX550,550W / Non Modular / Length 150mm / 2xCPU(4+4 Pin) / 0xPCIe (12 Pin) / 2xPCIe (6+2 Pin),1Y,795
400W.-600W.,POWER SUPPLY (FULL) 550W ANTEC ATOM V550,550W / FULL WATT / Non Modular,2Y,950
400W.-600W.,POWER SUPPLY (80+ WHITE) 550W MONTECH AP550,550W / 80 PLUS WHITE / Length 150mm / Non Modular,3Y,1180
400W.-600W.,POWER SUPPLY (80+ WHITE) 550W SILVERSTONE (SST-ST550-EF),550W / 80 PLUS WHITE / Non Modular / Length 140mm / 1xCPU(4+4 Pin) / 0xPCIe (16 Pin) / 2xPCIe (6+2 Pin),3Y,1350
400W.-600W.,POWER SUPPLY (80+ WHITE) 550W THERMALTAKE TR2 S (PS-TRS-0550NNSAWE-H),550W / 80+WHITE / Non Modular / Length 150mm / 2xCPU(4+4 Pin) / 0xPCIe (16 Pin) / 2xPCIe (6+2 Pin),3Y,1290
400W.-600W.,POWER SUPPLY (80+ WHITE) 550W THERMALTAKE TR2 S,550W / 80 PLUS WHITE / Length 140mm / Non Modular,3Y,1090
400W.-600W.,POWER SUPPLY (80+ BRONZE) 550W ITSONAS FROZEN,550W / 80 PLUS BRONZE / Non Modular / Length 150mm / 2xCPU / 2xPCIe (6+2 Pin),5Y,1320
400W.-600W.,POWER SUPPLY (80+ SILVER) 550W GIGABYTE P-550SS (GP-550SS),550W / 80+Silver / None Modular / Length 150mm / 1xCPU(4+4 Pin) / 0xPCIe (16 Pin) / 1xPCIe (6+2 Pin),3Y,1350
400W.-600W.,POWER SUPPLY (80+ SILVER) 550W GIGABYTE P-550SS ICE (GP-550SS),550W / 80+Silver / None Modular / Length 150mm / 1xCPU(4+4 Pin) / 0xPCIe (16 Pin) / 1xPCIe (6+2 Pin),3Y,1450
400W.-600W.,POWER SUPPLY (SATA) 580W TSUNAMI EXTREME+PRO,580W / Length 150mm / 1xCPU,1Y,460
400W.-600W.,POWER SUPPLY 600W TSUNAMI EX600,600W / Non Modular / Length 150mm / 1xCPU / 1xPCIe (6+2 Pin),1Y,570
400W.-600W.,POWER SUPPLY 600W TSUNAMI EX600 DEEP SPACE,600W / Length 150mm / Non Modular,1Y,890
400W.-600W.,POWER SUPPLY (FULL) 600W VIKINGS VOYAGE VK600W,600W / Non Modular / Length 150mm / 2xCPU / 1xPCIe (6+2 Pin),3Y,690
