ddr_type_ram,name__ram,latency_ns_ram,read_uncached_gbs_ram,write_gbs_ram,price_ram,additional_ram
DDR3,RAM DDR3(1333) 8GB BLACKBERRY 16 CHIP,13.50,10.6,10.6,825,"CL9 | 1.5V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR3,RAM DDR3(1600) 8GB HYNIX 16 CHIP,13.75,12.8,12.8,835,"CL11 | 1.5V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR3,RAM DDR3(1600) 8GB BLACKBERRY 16 CHIP,13.75,12.8,12.8,835,"CL11 | 1.5V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR3,RAM DDR3(1600) 8GB BLACKBERRY,13.75,12.8,12.8,835,"CL11 | 1.5V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR3L,RAM DDR3L(1600) 8GB BLACKBERRY 16 CHIP,13.75,12.8,12.8,835,"CL11 | 1.35V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR3,RAM DDR3(1600) 8GB BLACKBERRY MAXIMUS 16 CHIP,13.75,12.8,12.8,875,"CL11 | 1.5V | JEDEC | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(2133) 8GB BLACKBERRY 8 CHIP,14.06,17.0,17.0,2155,"CL15 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR4,RAM DDR4(2133) 8GB BLACKBERRY MAXIMUS,14.06,17.0,17.0,2215,"CL15 | 1.2V | JEDEC | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(2400) 8GB BLACKBERRY 8 CHIP,14.17,19.2,19.2,2155,"CL17 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR4,RAM DDR4(2400) 8GB HYNIX 8 CHIP,14.17,19.2,19.2,2155,"CL17 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR4,RAM DDR4(2400) 8GB BLACKBERRY MAXIMUS,14.17,19.2,19.2,2215,"CL17 | 1.2V | JEDEC | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(2666) 8GB BLACKBERRY 16 CHIP,14.25,21.3,21.3,2015,"CL19 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR4,RAM DDR4(2666) 8GB BLACKBERRY MAXIMUS,14.25,21.3,21.3,2055,"CL19 | 1.2V | JEDEC | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(2666) 8GB BLACKBERRY MAXIMUS GRAY,14.25,21.3,21.3,2055,"CL19 | 1.2V | JEDEC | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(2666) 8GB APACER 8 CHIP (EL.08G2V.GNH),14.25,21.3,21.3,2055,"CL19 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR4,RAM DDR4(2666) 8GB HYNIX 8 CHIP,14.25,21.3,21.3,2055,"CL19 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR4,RAM DDR4(2666) 8GB HYNIX 16 CHIP,14.25,21.3,21.3,2055,"CL19 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR4,RAM DDR4(2666) 16GB BLACKBERRY,14.25,21.3,21.3,3040,"CL19 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR4,RAM DDR4(2666) 16GB HYNIX 16 CHIP,14.25,21.3,21.3,3140,"CL19 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR4,RAM DDR4(2666) 16GB HIKSEMI (HSC416U26Z1),14.25,21.3,21.3,3290,"CL19 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR4,RAM DDR4(2666) 16GB BLACKBERRY MAXIMUS,14.25,21.3,21.3,3335,"CL19 | 1.2V | JEDEC | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(2666) 16GB BLACKBERRY MAXIMUS GRAY,14.25,21.3,21.3,3335,"CL19 | 1.2V | JEDEC | Non-ECC Unbuffered | Aluminum Heatspreader"
DDR4,RAM DDR4(2666) 16GB APACER (EL.16G2V.GNH),14.25,21.3,21.3,3335,"CL19 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
DDR4,RAM DDR4(2666) 16GB (8GBX2) BLACKBERRY MAXIMUS,14.25,42.6,42.6,3630,"CL19 | 1.2V | JEDEC | Non-ECC Unbuffered | Aluminum Heatspreader | Dual Channel Kit"
DDR4,RAM DDR4(3200) 8GB LEXAR (LD4AU008G-B3200GSST),13.75,25.6,25.6,1860,"CL22 | 1.2V | JEDEC | Non-ECC Unbuffered | Bare PCB"
